en_original;bg_original;cs_original;da_original;de_original;el_original;es_original;et_original;fi_original;fr_original;hr_original;hu_original;it_original;lt_original;lv_original;mt_original;nl_original;pl_original;pt_original;ro_original;sk_original;sl_original;sv_original;no_original;is_original
intermediate;междинен продукт;meziprodukt;mellemprodukt;Zwischenprodukt;ενδιάμεσο προϊόν;intermedio;vaheaine;välituote;intermédiaire;intermedijer;köztes termék;intermedio;tarpinis produktas;starpprodukts;intermedju;intermediair;intermediat;intermediário;intermediar;medziprodukt;vmesni produkt;intermediär;mellomprodukt;milliefni
intrinsic property;вътрешно свойство;vnitřní vlastnost;egenskab;intrinsische Eigenschaft;εγγενής ιδιότητα;propiedad intrínseca;omane omadus;aineen ominaisuus;propriété intrinsèque;intrinzično svojstvo;belső tulajdonság;proprietà intrinseca;vidinė savybė;iekšējā īpašība;proprjetà intrinsika;intrinsieke eigenschap;właściwość wewnętrzna;propriedade intrínseca;proprietate intrinsecă;vnútorná vlastnosť;intrinzična lastnost;inneboende egenskap;inneboende egenskap;eiginleiki efnis
industry category;категория на промишлеността;kategorie průmyslu;branchekategori;Industriekategorie;κατηγορία βιομηχανίας;categoría de industria;tööstusharu kategooria;teollisuuden ala;catégorie industrielle;kategorija industrije;ipari kategória;categoria industriale;pramonės kategorija;nozares kategorija;kategorija tal-industrija;industriecategorie;kategoria przemysłowa;categoria da indústria;categorie industrială;kategória priemyslu;industrijska kategorija;industrikategori;industriell kategori;iðnaðargeiri
information technology;информационни технологии;informační technologie;informationsteknologi;Informationstechnologie;τεχνολογία πληροφοριών;tecnología de la información;infotehnoloogia;tietotekniikka;technologie de l'information;informacijska tehnologija;információs technológia;tecnologia dell'informazione;informacinės technologijos;informācijas tehnoloģija;teknoloġija tal-informazzjoni;informatietechnologie;technologia informacyjna;tecnologia da informação;tehnologia informației;informačné technológie;informacijska tehnologija;informationsteknik;informasjonsteknologi;upplýsingatækni
integrated pollution prevention and control;интегрирано предотвратяване и контрол на замърсяването;integrovaná prevence a omezování znečištění;integreret forebyggelse og kontrol af forurening;integrierte Vermeidung und Verminderung der Umweltverschmutzung;ολοκληρωμένη πρόληψη και έλεγχος της ρύπανσης;prevención y control integrados de la contaminación;integreeritud saaste vältimine ja kontroll;integroitu pilaantumisen ehkäisy ja valvonta;prévention et contrôle intégrés de la pollution;integrirana prevencija i kontrola onečišćenja;integrált szennyezés-megelőzés és -ellenőrzés;prevenzione e controllo integrati dell'inquinamento;integruota taršos prevencija ir kontrolė;integrēta piesārņojuma novēršana un kontrole;prevenzjoni u kontroll integrat tat-tniġġis;geïntegreerde preventie en bestrijding van verontreiniging;zintegrowane zapobieganie i kontrola zanieczyszczeń;prevenção e controlo integrados da poluição;prevenirea și controlul integrat al poluării;integrovaná prevencia a kontrola znečisťovania;integrirano preprečevanje in nadzorovanje onesnaževanja;integrerat förebyggande och begränsning av föroreningar;integrert forebygging og kontroll av forurensning;samþætt mengunarvarnareftirlit
International Organization for Standardization;Международна организация по стандартизация;Mezinárodní organizace pro normalizaci;Den Internationale Standardiseringsorganisation;Internationale Organisation für Normung;Διεθνής Οργανισμός Τυποποίησης;Organización Internacional de Normalización;Rahvusvaheline Standardiorganisatsioon;Kansainvälinen standardisoimisjärjestö;Organisation internationale de normalisation;Međunarodna organizacija za standardizaciju;Nemzetközi Szabványügyi Szervezet;Organizzazione Internazionale per la Normazione;Tarptautinė standartizacijos organizacija;Starptautiskā Standartizācijas Organizācija;Organizzazzjoni Internazzjonali għall-Istandardizzazzjoni;Internationale Organisatie voor Standaardisatie;Międzynarodowa Organizacja Normalizacyjna;Organização Internacional de Normalização;Organizația Internațională de Standardizare;Medzinárodná organizácia pre normalizáciu;Mednarodna organizacija za standardizacijo;Internationella standardiseringsorganisationen;Den internasjonale standardiseringsorganisasjonen;Alþjóðleg staðlasamtök
International Uniform Chemical Information Database;Международна унифицирана база данни за химическа информация;Mezinárodní jednotná chemická informační databáze;International Uniform Chemical Information Database;Internationales Einheitliches Chemikalieninformationsdatenbank;Διεθνής Ενιαία Βάση Δεδομένων Χημικών Πληροφοριών;Base de Datos Internacional Uniforme de Información Química;Rahvusvaheline Ühtne Keemilise Teabe Andmebaas;Kansainvälinen yhtenäinen kemiallinen tietokanta;Base de données internationale uniforme sur les substances chimiques;Međunarodna uniformna baza podataka o kemijskim informacijama;Nemzetközi Egységes Vegyi Információs Adatbázis;Banca Dati Internazionale Uniforme delle Informazioni Chimiche;Tarptautinė vieninga cheminių medžiagų informacijos duomenų bazė;Starptautiskā Vienotā Ķīmiskās Informācijas Datu Bāze;Database Internazzjonali Uniformi ta' Informazzjoni Kimika;Internationaal Uniform Chemisch Informatiesysteem;Międzynarodowa Jednolita Baza Danych o Informacjach Chemicznych;Base Internacional de Dados de Informação Química Uniforme;Baza Internațională Uniformă de Informații Chimice;Medzinárodná jednotná chemická informačná databáza;Mednarodna enotna baza podatkov o kemijskih informacijah;Internationella enhetliga kemiska informationsdatabasen;Internasjonal enhetlig kjemisk informasjonsdatabase;Alþjóðleg samræmd efnafræðileg upplýsingagagnagrunnur
International Union of Pure and Applied Chemistry;Международен съюз за чиста и приложна химия;Mezinárodní unie pro čistou a aplikovanou chemii;Den Internationale Union for Ren og Anvendt Kemi;Internationale Union für Reine und Angewandte Chemie;Διεθνής Ένωση Καθαρής και Εφαρμοσμένης Χημείας;Unión Internacional de Química Pura y Aplicada;Rahvusvaheline Puhta ja Rakendusliku Keemia Liit;Kansainvälinen puhtaan ja sovelletun kemian liitto;Union internationale de chimie pure et appliquée;Međunarodna unija za čistu i primijenjenu kemiju;Nemzetközi Tiszta és Alkalmazott Kémiai Unió;Unione Internazionale di Chimica Pura e Applicata;Tarptautinė grynosios ir taikomosios chemijos sąjunga;Starptautiskā Tīrās un Lietišķās Ķīmijas Savienība;Unjoni Internazzjonali tal-Kimika Pura u Applikata;Internationale Unie voor Zuivere en Toegepaste Chemie;Międzynarodowa Unia Chemii Czystej i Stosowanej;União Internacional de Química Pura e Aplicada;Uniunea Internațională de Chimie Pură și Aplicată;Medzinárodná únia pre čistú a aplikovanú chémiu;Mednarodna zveza za čisto in uporabno kemijo;Internationella unionen för ren och tillämpad kemi;Den internasjonale union for ren og anvendt kjemi;Alþjóðasamband hreinnar og hagnýtrar efnafræði
IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5;IUCLID5
joint registration;съвместна регистрация;společná registrace;fælles registrering;gemeinsame Registrierung;κοινή καταχώριση;registro conjunto;ühine registreerimine;yhteinen rekisteröinti;enregistrement conjoint;zajednička registracija;közös regisztráció;registrazione congiunta;bendras registravimas;kopīga reģistrācija;reġistrazzjoni konġunta;gezamenlijke registratie;wspólna rejestracja;registo conjunto;înregistrare comună;spoločná registrácia;skupna registracija;gemensam registrering;felles registrering;sameiginleg skráning
lethal concentration x%;летална концентрация x%;smrtelná koncentrace x%;letal koncentration x%;letale Konzentration x%;θανατηφόρα συγκέντρωση x%;concentración letal x%;surmav kontsentratsioon x%;tappava pitoisuus x%;concentration létale x%;letalna koncentracija x%;halálos koncentráció x%;concentrazione letale x%;mirtina koncentracija x%;letālā koncentrācija x%;konċentrazzjoni letali x%;dodelijke concentratie x%;śmiertelne stężenie x%;concentração letal x%;concentrație letală x%;letálna koncentrácia x%;letalna koncentracija x%;letal koncentration x%;dødelig konsentrasjon x%;banvæn styrkur x%
lethal dose x%;летална доза x%;smrtelná dávka x%;letal dosis x%;letale Dosis x%;θανατηφόρα δόση x%;dosis letal x%;surmav annus x%;tappava annos x%;dose létale x%;letalna doza x%;halálos dózis x%;dose letale x%;mirtina dozė x%;letālā deva x%;doża letali x%;dodelijke dosis x%;śmiertelna dawka x%;dose letal x%;doză letală x%;letálna dávka x%;letalni odmerek x%;letal dos x%;dødelig dose x%;banvæn skammtur x%
lead registrant;водещ регистрант;vedoucí registrující;ledende registrant;Federführender Registrant;κύριος καταχωρίζων;declarante principal;juhtiv registreerija;johtava rekisteröijä;déclarant principal;vodeći registrant;vezető regisztráló;dichiarante principale;pagrindinis registruotojas;vadošais reģistrētājs;reġistrant ewlieni;leidende registrant;główny rejestrujący;registrante principal;registrant principal;vedúci registrujúci;vodilni registrant;huvudregistrant;hovedregistrant;leiðandi skráningaraðili
lowest observed adverse effect concentration;най-ниска наблюдавана концентрация на неблагоприятен ефект;nejnižší pozorovaná koncentrace s nepříznivým účinkem;laveste observerede skadelige virkningskoncentration;niedrigste beobachtete schädliche Wirkungskonzentration;χαμηλότερη παρατηρούμενη συγκέντρωση ανεπιθύμητης ενέργειας;concentración más baja con efecto adverso observado;madalaim täheldatud kahjuliku toime kontsentratsioon;alin havaittu haitallinen vaikutuspitoisuus;concentration minimale avec effet indésirable observé;najniža koncentracija s opaženim štetnim učinkom;legalacsonyabb megfigyelt káros hatás koncentráció;concentrazione minima osservata di effetto avverso;mažiausia stebėta nepageidaujamo poveikio koncentracija;zemākā novērotā nelabvēlīgā ietekmes koncentrācija;konċentrazzjoni ta' effett avvers osservat l-inqas;laagste waargenomen nadelige effectconcentratie;najniższe zaobserwowane stężenie wywołujące niekorzystne skutki;concentração mais baixa observada de efeito adverso;cea mai mică concentrație observată cu efect advers;najnižšia pozorovaná koncentrácia s nepriaznivým účinkom;najnižja opažena koncentracija škodljivega učinka;lägsta observerade skadliga effektkoncentration;laveste observerte skadelige effektkonsentrasjon;lægsti athugaði skaðlegur áhrifastyrkur
lowest observed adverse effect level;най-ниско наблюдавано ниво на неблагоприятен ефект;nejnižší pozorovaná úroveň s nepříznivým účinkem;laveste observerede skadelige virkningsniveau;niedrigste beobachtete schädliche Wirkungsniveau;χαμηλότερο παρατηρούμενο επίπεδο ανεπιθύμητης ενέργειας;nivel más bajo con efecto adverso observado;madalaim täheldatud kahjuliku toime tase;alin havaittu haitallinen vaikutustaso;niveau minimal avec effet indésirable observé;najniža razina s opaženim štetnim učinkom;legalacsonyabb megfigyelt káros hatás szint;livello minimo osservato di effetto avverso;mažiausia stebėta nepageidaujamo poveikio lygis;zemākā novērotā nelabvēlīgā ietekmes līmenis;livell ta' effett avvers osservat l-inqas;laagste waargenomen nadelige effectniveau;najniższy zaobserwowany poziom wywołujący niekorzystne skutki;nível mais baixo observado de efeito adverso;cel mai mic nivel observat cu efect advers;najnižšia pozorovaná úroveň s nepriaznivým účinkom;najnižja opažena raven škodljivega učinka;lägsta observerade skadliga effektnivå;laveste observerte skadelige effektnivå;lægsti athugaði skaðlegur áhrifastig
lowest observed effect concentration;най-ниска наблюдавана концентрация на ефект;nejnižší pozorovaná koncentrace s účinkem;laveste observerede virkningskoncentration;niedrigste beobachtete Wirkungskonzentration;χαμηλότερη παρατηρούμενη συγκέντρωση επίδρασης;concentración más baja con efecto observado;madalaim täheldatud toime kontsentratsioon;alin havaittu vaikutuspitoisuus;concentration minimale avec effet observé;najniža koncentracija s opaženim učinkom;legalacsonyabb megfigyelt hatás koncentráció;concentrazione minima osservata di effetto;mažiausia stebėta poveikio koncentracija;zemākā novērotā ietekmes koncentrācija;konċentrazzjoni ta' effett osservat l-inqas;laagste waargenomen effectconcentratie;najniższe zaobserwowane stężenie wywołujące skutki;concentração mais baixa observada de efeito;cea mai mică concentrație observată cu efect;najnižšia pozorovaná koncentrácia účinku;najnižja opažena koncentracija učinka;lägsta observerade effektkoncentration;laveste observerte effektkonsentrasjon;lægsta athuguð áhrifastyrkur
lowest observed effect level;най-ниско наблюдавано ниво на ефект;nejnižší pozorovaná úroveň s účinkem;laveste observerede virkningsniveau;niedrigste beobachtete Wirkungsniveau;χαμηλότερο παρατηρούμενο επίπεδο επίδρασης;nivel más bajo con efecto observado;madalaim täheldatud toime tase;alin havaittu vaikutustaso;niveau minimal avec effet observé;najniža razina s opaženim učinkom;legalacsonyabb megfigyelt hatás szint;livello minimo osservato di effetto;mažiausia stebėta poveikio lygis;zemākā novērotā ietekmes līmenis;livell ta' effett osservat l-inqas;laagste waargenomen effectniveau;najniższy zaobserwowany poziom wywołujący skutki;nível mais baixo observado de efeito;cel mai mic nivel observat cu efect;najnižšia pozorovaná úroveň účinku;najnižja opažena raven učinka;lägsta observerade effektnivå;laveste observerte effekt nivå;lægsta athuguð áhrifastig
Member State;Държава членка;Členský stát;Medlemsstat;Mitgliedstaat;Κράτος Μέλος;Estado miembro;liikmesriik;Jäsenvaltio;État membre;Država članica;Tagállam;Stato membro;Valstybė narė;Dalībvalsts;Stat Membru;Lidstaat;Państwo członkowskie;Estado-Membro;Stat Membru;členský štát;Država članica;Medlemsstat;medlemsstat;aðildarríki
Member State Committee;Комитет на държавите членки;Výbor členských států;Medlemsstatskomité;Ausschuss der Mitgliedstaaten;Επιτροπή Κράτους Μέλους;Comité de los Estados miembros;liikmesriikide komitee;Jäsenvaltioiden komitea;Comité des États membres;Odbor država članica;Tagállami Bizottság;Comitato degli Stati membri;Valstybių narių komitetas;Dalībvalstu komiteja;Kumitat tal-Istat Membru;Comité van de Lidstaten;Komitet Państw Członkowskich;Comité dos Estados-Membros;Comitetul Statelor Membre;výbor členského štátu;Odbor držav članic;Medlemsstatskommitté;medlemsstatskomité;nefnd aðildarríkja
main constituent;основен компонент;Hlavní složka;hovedbestanddel;Hauptbestandteil;κύριο συστατικό;constituente principal;peamine koostisosa;Pääasiallinen ainesosa;constituant principal;glavni sastojak;fő összetevő;costituente principale;Pagrindinė sudedamoji dalis;Galvenā sastāvdaļa;kostitwent ewlieni;hoofdbestanddeel;główny składnik;constituinte principal;constituent principal;hlavná zložka;glavna sestavina;huvudbeståndsdel;hovedbestanddel;aðalinnihaldsefni
manufacturer;производител;Výrobce;producent;Hersteller;κατασκευαστής;fabricante;tootja;Valmistaja;fabricant;proizvođač;gyártó;fabbricante;Gamintojas;Ražotājs;manifattur;fabrikant;producent;fabricante;producător;výrobca;proizvajalec;tillverkare;produsent;framleiðandi
manufacturing;производство;Výroba;fremstilling;Herstellung;κατασκευή;fabricación;tootmine;Valmistus;fabrication;proizvodnja;gyártás;fabbricazione;Gamyba;Ražošana;manifattura;productie;produkcja;fabricação;producție;výroba;proizvodnja;tillverkning;produksjon;framleiðsla
mono-constituent substance;моно-съставно вещество;Mono-konstituentní látka;mono-konstituentstof;Mono-Konstituentenstoff;ουσία μονοσυστατικού;sustancia mono-constituente;monokoostisosa aine;Yksikomponenttinen aine;substance mono-constituant;mono-konstituentna tvar;mono-összetevős anyag;sostanza mono-costituente;Vienos sudedamosios dalies medžiaga;Viena komponenta viela;sustanza mono-kostitwent;mono-constituent stof;substancja jedno-składnikowa;substância mono-constituinte;substanță mono-constituentă;mono-konštituentná látka;mono-sestavinska snov;mono-konstituentämne;mono-konstituent stoff;einingaefni
monomer;мономер;Monomer;monomer;Monomer;μονομερές;monómero;monomeer;Monomeeri;monomère;monomer;monomer;monomero;Monomeras;Monomērs;monomeru;monomeer;monomer;monómero;monomer;monomér;monomer;monomer;monomer;einliða
multi-constituent substance;мулти-съставно вещество;Multi-konstituentní látka;multi-konstituentstof;Multi-Konstituentenstoff;ουσία πολυσυστατικού;sustancia multi-constituente;mitmekoostisosa aine;Monikomponenttinen aine;substance multi-constituant;višekonstituentna tvar;több összetevős anyag;sostanza multi-costituente;Daugiakomponentė medžiaga;Vairāku komponentu viela;sustanza multi-kostitwent;multi-constituent stof;substancja wielo-składnikowa;substância multi-constituinte;substanță multi-constituentă;multi-konštituentná látka;več-sestavinska snov;multi-konstituentämne;multi-konstituent stoff;fjölefni
non-phase-in substance;нефазово вещество;Látka, která není fázově zaváděná;ikke-fase-in-stof;Nicht-Phase-in-Stoff;ουσία εκτός φάσης;sustancia no de fase transitoria;mittefaasi aine;Ei vaiheittain rekisteröitävä aine;substance non phase-in;tvar koja nije u fazi uvođenja;nem fázisba lépő anyag;sostanza non fase-in;Ne pereinamoji medžiaga;Neiekļauta viela;sustanza mhux ta' fażi;niet-fase-in stof;substancja nieobjęta fazą przejściową;substância não faseada;substanță non-phase-in;látka, ktorá nie je fáza-in;ne-fazna snov;icke-fas-in-ämne;ikke-fase-inn stoff;efni utan áfanga
not chemically modified substance;нехимически модифицирано вещество;Chemicky nemodifikovaná látka;ikke-kemisk modificeret stof;Nicht chemisch modifizierter Stoff;ουσία που δεν έχει τροποποιηθεί χημικά;sustancia no modificada químicamente;keemiliselt muutmata aine;Ei kemiallisesti muunnettu aine;substance non modifiée chimiquement;tvar koja nije kemijski modificirana;nem kémiailag módosított anyag;sostanza non modificata chimicamente;Chemiškai nemodifikuota medžiaga;Ķīmiski nemodificēta viela;sustanza mhux modifikata kimikament;niet chemisch gemodificeerde stof;substancja niemodyfikowana chemicznie;substância não quimicamente modificada;substanță nemodificată chimic;látka, ktorá nie je chemicky modifikovaná;kemično nespremenjena snov;icke-kemiskt modifierat ämne;ikke kjemisk modifisert stoff;efni sem ekki hefur verið efnafræðilega breytt
notification;уведомление;Oznámení;anmeldelse;Meldung;ειδοποίηση;notificación;teavitamine;Ilmoitus;notification;obavijest;bejelentés;notifica;Pranešimas;Paziņošana;notifika;kennisgeving;powiadomienie;notificação;notificare;oznámenie;priglasitev;anmälan;melding;tilkynning
notified substance;уведомено вещество;Oznámená látka;anmeldt stof;Gemeldeter Stoff;ειδοποιημένη ουσία;sustancia notificada;teavitatud aine;Ilmoitettu aine;substance notifiée;prijavljena tvar;bejelentett anyag;sostanza notificata;Pranešta medžiaga;Paziņotā viela;sustanza notifikata;aangemelde stof;substancja zgłoszona;substância notificada;substanță notificată;oznámená látka;priglašena snov;anmält ämne;meldt stoff;tilkynnt efni
no observed adverse effect concentration;концентрация без наблюдаван неблагоприятен ефект;Koncentrace bez pozorovaného nepříznivého účinku;ingen observeret skadelig virkning koncentration;Konzentration ohne beobachtete schädliche Wirkung;συγκέντρωση χωρίς παρατηρούμενη δυσμενή επίδραση;concentración sin efecto adverso observado;täheldamata kahjuliku toime kontsentratsioon;Havaittavissa olevan haitallisen vaikutuksen alaraja;concentration sans effet nocif observé;koncentracija bez opaženog štetnog učinka;nem észlelt káros hatás koncentráció;concentrazione senza effetti avversi osservati;Nustatyta nepageidaujamo poveikio koncentracija;Koncentrācija, pie kuras netiek novērota nelabvēlīga ietekme;konċentrazzjoni ta' effett avvers osservat;geen waargenomen nadelige effectconcentratie;stężenie, przy którym nie zaobserwowano szkodliwego działania;concentração de efeito adverso não observado;concentrație fără efecte adverse observate;koncentrácia bez pozorovaného nepriaznivého účinku;koncentracija brez opaženega škodljivega učinka;ingen observerad skadlig effektkoncentration;ingen observerte skadelige effekter konsentrasjon;engin athuguð skaðleg áhrifastyrkur
no observed adverse effect level;ниво без наблюдаван неблагоприятен ефект;Úroveň bez pozorovaného nepříznivého účinku;ingen observeret skadelig virkning niveau;Dosis ohne beobachtete schädliche Wirkung;επίπεδο χωρίς παρατηρούμενη δυσμενή επίδραση;nivel sin efecto adverso observado;täheldamata kahjuliku toime tase;Havaittavissa olevan haitallisen vaikutuksen taso;niveau sans effet nocif observé;razina bez opaženog štetnog učinka;nem észlelt káros hatás szint;livello senza effetti avversi osservati;Nustatytas nepageidaujamo poveikio lygis;Līmenis, pie kura netiek novērota nelabvēlīga ietekme;livell ta' effett avvers osservat;geen waargenomen nadelige effectniveau;poziom, przy którym nie zaobserwowano szkodliwego działania;nível de efeito adverso não observado;nivel fără efecte adverse observate;úroveň bez pozorovaného nepriaznivého účinku;raven brez opaženega škodljivega učinka;ingen observerad skadlig effektnivå;ingen observerte skadelige effekter nivå;engin athuguð skaðleg áhrifastig
no observed effect concentration;концентрация без наблюдаван ефект;Koncentrace bez pozorovaného účinku;ingen observeret virkning koncentration;Konzentration ohne beobachtete Wirkung;συγκέντρωση χωρίς παρατηρούμενη επίδραση;concentración sin efecto observado;täheldamata toime kontsentratsioon;Havaittavissa olevan vaikutuksen alaraja;concentration sans effet observé;koncentracija bez opaženog učinka;nem észlelt hatás koncentráció;concentrazione senza effetti osservati;Nustatyta poveikio koncentracija;Koncentrācija, pie kuras netiek novērota ietekme;konċentrazzjoni ta' effett osservat;geen waargenomen effectconcentratie;stężenie, przy którym nie zaobserwowano działania;concentração de efeito não observado;concentrație fără efecte observate;koncentrácia bez pozorovaného účinku;koncentracija brez opaženega učinka;ingen observerad effektkoncentration;ingen observerte effektkonsentrasjon;engin athuguð áhrifastyrkur
no observed effect level;ниво без наблюдаван ефект;Úroveň bez pozorovaného účinku;ingen observeret virkning niveau;Dosis ohne beobachtete Wirkung;επίπεδο χωρίς παρατηρούμενη επίδραση;nivel sin efecto observado;täheldamata toime tase;Havaittavissa olevan vaikutuksen taso;niveau sans effet observé;razina bez opaženog učinka;nem észlelt hatás szint;livello senza effetti osservati;Nustatytas poveikio lygis;Līmenis, pie kura netiek novērota ietekme;livell ta' effett osservat;geen waargenomen effectniveau;poziom, przy którym nie zaobserwowano działania;nível de efeito não observado;nivel fără efecte observate;úroveň bez pozorovaného účinku;raven brez opaženega učinka;ingen observerad effektnivå;ingen observerte effekt nivå;engin athuguð áhrifastig
no-longer polymer;вече не е полимер;Látka, která již není polymerem;ikke-længere polymer;Nicht-mehr-Polymer;μη πλέον πολυμερές;polímero ya no considerado;enam mitte polümeer;Ei enää polymeeri;polymère non plus;više nije polimer;már nem polimer;non più polimero;Nebepolimeras;Vairs nav polimērs;polimeru mhux aktar;niet langer polymeer;polimer niebędący już polimerem;polímero não mais existente;polimer care nu mai este considerat;už nie polymer;ne več polimer;inte längre polymer;ikke lenger polymer;ekki lengur fjölliða
non-governmental organisation;неправителствена организация;Nezisková organizace;ikke-statslig organisation;Nichtregierungsorganisation;μη κυβερνητική οργάνωση;organización no gubernamental;valitsusväline organisatsioon;Kansalaisjärjestö;organisation non gouvernementale;nevladina organizacija;nem kormányzati szervezet;organizzazione non governativa;Nevyriausybinė organizacija;Nevalstiskā organizācija;organizzazzjoni mhux governattiva;niet-gouvernementele organisatie;organizacja pozarządowa;organização não governamental;organizație neguvernamentală;nevládna organizácia;nevladna organizacija;icke-statlig organisation;ikke-statlig organisasjon;frjáls félagasamtök
occupational exposure limit;гранична стойност на професионално излагане;Limit pracovního vystavení;grænseværdi for erhvervsmæssig eksponering;Arbeitsplatzgrenzwert;όριο επαγγελματικής έκθεσης;límite de exposición profesional;tööalane kokkupuute piirnorm;Työperäisen altistuksen raja-arvo;valeur limite d'exposition professionnelle;granična vrijednost profesionalne izloženosti;munkahelyi expozíciós határérték;limite di esposizione professionale;Profesinės ekspozicijos riba;Arodslimību iedarbības robežvērtība;limitu ta' espożizzjoni okkupazzjonali;grenswaarde voor beroepsmatige blootstelling;dopuszczalne stężenie w środowisku pracy;limite de exposição ocupacional;limită de expunere profesională;limit pracovnej expozície;mejna vrednost poklicne izpostavljenosti;yrkesmässig exponering gränsvärde;yrkesmessig eksponeringsgrense;vinnuverndarmörk
only representative;единствен представител;Výhradní zástupce;ene-repræsentant;Alleinvertretung;μόνο αντιπρόσωπος;representante exclusivo;ainuesindaja;Ainoa edustaja;représentant exclusif;jedini zastupnik;kizárólagos képviselő;rappresentante esclusivo;Vienintelis atstovas;Vienīgais pārstāvis;rappreżentant uniku;enige vertegenwoordiger;jedyny przedstawiciel;representante único;reprezentant unic;výhradný zástupca;izključno zastopnik;enda representant;enerepresentant;einungis fulltrúi
Organisation for Economic Cooperation and Development;Организация за икономическо сътрудничество и развитие;Organizace pro hospodářskou spolupráci a rozvoj;Organisationen for Økonomisk Samarbejde og Udvikling;Organisation für wirtschaftliche Zusammenarbeit und Entwicklung;Οργανισμός Οικονομικής Συνεργασίας και Ανάπτυξης;Organización para la Cooperación y el Desarrollo Económicos;Majandusliku Koostöö ja Arengu Organisatsioon;Taloudellisen yhteistyön ja kehityksen järjestö;Organisation de coopération et de développement économiques;Organizacija za ekonomsku suradnju i razvoj;Gazdasági Együttműködési és Fejlesztési Szervezet;Organizzazione per la Cooperazione e lo Sviluppo Economico;Ekonominio bendradarbiavimo ir plėtros organizacija;Ekonomiskās sadarbības un attīstības organizācija;Organizzazzjoni għall-Kooperazzjoni Ekonomika u Żvilupp;Organisatie voor Economische Samenwerking en Ontwikkeling;Organizacja Współpracy Gospodarczej i Rozwoju;Organização para a Cooperação e Desenvolvimento Económico;Organizația pentru Cooperare și Dezvoltare Economică;Organizácia pre hospodársku spoluprácu a rozvoj;Organizacija za gospodarsko sodelovanje in razvoj;Organisationen för ekonomiskt samarbete och utveckling;Organisasjonen for økonomisk samarbeid og utvikling;Efnahags- og framfarastofnunin
parts per million;части на милион;části na milion;dele pr. million;Teile pro Million;μέρη ανά εκατομμύριο;partes por millón;miljondikosa;miljoonasosaa;parties par million;dijelova na milijun;millió részecske;parti per milione;milijoninės dalys;daļas uz miljonu;partijiet kull miljun;delen per miljoen;części na milion;partes por milhão;părți per milion;časti na milión;delov na milijon;miljondelar;deler per million;hlutar á milljón
persistent, bioaccumulative and toxic;устойчиви, биоакумулиращи и токсични;perzistentní, bioakumulativní a toxický;persistent, bioakkumulerende og toksisk;persistent, bioakkumulierbar und toxisch;επίμονο, βιοσυσσωρεύσιμο και τοξικό;persistente, bioacumulable y tóxico;püsiv, bioakumuleeruv ja toksiline;pysyvä, biokertyvä ja myrkyllinen;persistant, bioaccumulable et toxique;postojan, bioakumulativan i toksičan;perzisztens, bioakkumulatív és mérgező;persistente, bioaccumulabile e tossico;patvarus, bioakumuliacinis ir toksiškas;noturīgs, bioakumulatīvs un toksisks;persistenti, bijoakkumulattivi u tossiċi;persistent, bioaccumulerend en toxisch;trwały, bioakumulatywny i toksyczny;persistente, bioacumulável e tóxico;persistent, bioacumulativ și toxic;perzistentné, bioakumulatívne a toxické;obstojna, bioakumulativna in strupena;persistent, bioackumulerande och toxiskt;vedvarende, bioakkumulerende og giftig;þrálát, safnast upp í lífverum og eitruð
pesticide;пестицид;pesticid;pesticid;Pestizid;φυτοφάρμακο;plaguicida;pestitsiid;torjunta-aine;pesticide;pesticid;növényvédőszer;pesticida;pesticidas;pesticīds;pestiċida;pesticide;pestycyd;pesticida;pesticid;pesticíd;pesticid;bekämpningsmedel;pesticid;skordýraeitur
per year;годишно;za rok;pr. år;pro Jahr;ανά έτος;por año;aastas;vuodessa;par an;godišnje;évente;per anno;per metus;gadā;kull sena;per jaar;rocznie;por ano;pe an;za rok;na leto;per år;per år;á ári
phase-in substance;фазово вещество;fázová látka;faseinddelt stof;Phase-in-Stoff;ουσία σταδιακής εισαγωγής;sustancia de fase transitoria;faasiainete;vaiheittain käyttöönotettava aine;substance transitoire;postojeća tvar;fázisban lévő anyag;sostanza a regime transitorio;pereinamojo laikotarpio medžiaga;pakāpeniski ieviešama viela;sustanza ta' fażi-in;fase-in stof;substancja wprowadzana stopniowo;substância de fase-in;substanță în faza de tranziție;fázová látka;postopna snov;fas-in ämne;fase-in stoff;stigvaxandi efni
placing on the market;пускане на пазара;uvedení na trh;markedsføring;Inverkehrbringen;διάθεση στην αγορά;puesta en el mercado;turule viimine;markkinoille saattaminen;mise sur le marché;stavljanje na tržište;forgalomba hozatal;immissione sul mercato;pateikimas į rinką;laišana tirgū;tqegħid fis-suq;in de handel brengen;wprowadzanie do obrotu;colocação no mercado;punerea pe piață;uvedenie na trh;dajatve na trg;tillhandahållande på marknaden;markedsføring;setja á markað
